AAA	Anaa, French Polynesia
AGC	Pittsburgh, PA [Allegheny County Airport], USA
AGD	Anggi, Indonesia
AGE	Wangerooge, Germany
AGF	Agen, France
AGG	Angoram, Papua New Guinea
AGH	Angelholm (Helsingborg), Sweden
AGI	Wageningen, Suriname
AGJ	Aguni, Japan
AGK	Kagua, Papua New Guinea
AGL	Wanigela, Papua New Guinea
AGM	Anqmaqssalik, Greenland
AGN	Angoon, AK [Angoon Seaplane Base], USA
AGO	Magnolia, AR [Magnolia Municipal Airport], USA
AGP	Malaga [Pablo Ruiz Picasso], Spain
AGQ	Agrinion, Greece
AGR	Agra, India
AGS	Augusta, GA [Bush Field], USA
AGT	Ciudad del Este, Paraguay
AGU	Aguascalientes, Mexico
AGV	Acarigua, Venezuela
AGW	Agnew, Queensland, Australia
AGX	Agatti Island, India
AGY	Argyle Downs, Western Australia, Australia
AGZ	Aggeneys, South Africa
AHA	Naha, Okinawa [Naha Air Force Base], Japan
AHB	Khamis Mushayat (Abha), Saudi Arabia
AHC	Herlong, CA [Amedee Army Air Field], USA
AHD	Ardmore, OK [Ardmore Downtown Executive Airport], USA
AHF	Arapahoe, NE [Arapahoe Municipal Airport], USA
AHH	Amery, WI [Amery Municipal Airport], USA
AHI	Amahai, Indonesia
AHL	Aishalton, Guyana
AHN	Athens, GA [Athens/Ben Epps Airport], USA
AHO	Alghero, Sardinia [Fertilia], Italy
AHQ	Wahoo, NE [Wahoo Municipal Airport], USA
AHS	Ahuas, Honduras
AHT	Amchitka, AK [Amchitka Island Airport], USA
AHU	Al Hoceima [Cote du Rif], Morocco
AHY	Ambatolahy, Madagascar
AHZ	Alpe d'Huez, France
AIA	Alliance, NE [Alliance Municipal Airport], USA
AIB	Anita Bay, AK, USA
AIC	Airok, Marshall Islands
AID	Anderson, IN [Anderson Municipal Airport-Darlington Field], USA
AIE	Aiome, Papua New Guinea
AIF	Assis, SP, Brazil
AIG	Yalinga, Central African Republic
AII	Ali Sabieh, Djibouti
AIK	Aiken, SC [Aiken Municipal Airport], USA
AIL	Ailigandi, Panama
AIM	Ailuk, Ine Island, Marshall Islands
AIN	Wainwright, AK [Wainwright Airport], USA
AIO	Atlantic, IA [Atlantic Municipal Airport], USA
AIP	Ailinglapalap, Marshall Islands
AIR	Aripuana, MT, Brazil
AIS	Arorae Island, Kiribati
AIT	Aitutaki, Cook Islands
AIU	Atiu, Cook Islands
AIV	Aliceville, AL [George Downer Airport], USA
AIY	Atlantic City, NJ [Atlantic City Municipal Airport/Bader Field], USA
AIZ	Kaiser/Lake Ozark, MO [Lee C. Fine Memorial Airport], USA
AJA	Ajaccio, Corsica [Campo Dell'Oro], France
AJF	Jouf, Saudi Arabia
AJG	Mount Carmel, IL [Mount Carmel Municipal Airport], USA
AJJ	Akjoujt, Mauritania
AJL	Aizawl, India
AJN	Anjouan, Comoros
AJO	Aljouf, Yemen
AJR	Arvidsjaur, Sweden
AJS	Abreojos, Mexico
AJU	Aracaju, SE, Brazil
AJY	Agades (Agadez), Niger
AKA	Ankang, China
AKB	Atka, AK [Atka Airport], USA
AKD	Akola, India
AKE	Akieni, Gabon
AKF	Kufrah, Libya
AKG	Anguganak, Papua New Guinea
AKI	Akiak, AK [Akiak Airport], USA
AKJ	Asahikawa, Japan
AKK	Akhiok, AK [Akhiok Airport], USA
AKL	Auckland [International], New Zealand
AKM	Zakouma, Chad
AKN	King Salmon, AK [King Salmon Airport], USA
AKO	Akron, CO [Akron-Washington County Airport], USA
AKP	Anaktuvuk Pass, AK [Anaktuvuk Pass Airport], USA
AKQ	Astraksetra, Indonesia
AKR	Akure, Nigeria
AKS	Auki, Solomon Islands
AKT	Akrotiri, Cyprus
AKU	Aksu, China
AKV	Akulivik, QC, Canada
AKX	Aqtobe (Aktyubinsk), Aqtobe, Kazakhstan
AKY	Sittwe (Akyab), Myanmar
ALA	Almaty (Alma Ata), Alma Ata, Kazakhstan
ALB	Albany, NY [Albany County Airport], USA
ALC	Alicante, Spain
ALD	Alerta, Peru
ALE	Alpine, TX [Alpine-Casparis Municipal Airport], USA
ALF	Alta, Norway
ALG	Alger (Algiers) [Houari Boumediene], Algeria
ALH	Albany, Western Australia, Australia
ALI	Alice, TX [Alice International Airport], USA
ALJ	Alexander Bay, South Africa
ALK	Asela, Ethiopia
ALL	Albenga, Italy
ALM	Alamogordo, NM [Alamogordo-White Sands Regional Airport], USA
ALN	Alton, IL/St. Louis, MO [St. Louis Regional Airport], USA
ALO	Waterloo, IA [Waterloo Municipal Airport], USA
ALP	Aleppo, Syria
ALQ	Alegrete, RS, Brazil
ALR	Alexandra, New Zealand
ALS	Alamosa, CO [San Luis Valley Regional Airport/Bergman Field], USA
ALT	Alenquer, PA, Brazil
ALU	Alula, Somalia
ALV	Andorra la Vella, Andorra
ALW	Walla Walla, WA [Walla Walla Regional Airport], USA
ALX	Alexander City, AL [Thomas C. Russell Field], USA
ALY	Alexandria, Egypt
ALZ	Alitak, AK [Alitak Seaplane Base], USA
AMA	Amarillo, TX [Amarillo International Airport], USA
AMB	Ambilobe, Madagascar
AMC	Amchitka, Chad
AMD	Ahmedabad, India
AME	Alto Molocue, Mozambique
AMF	Ama, Papua New Guinea
AMG	Ambolin, Papua New Guinea
AMH	Arba Mintch, Ethiopia
AMI	Mataram [Selaparang], Indonesia
AMJ	Almenara, MG, Brazil
AMK	Durango, CO [Animas Air Park], USA
AML	Puerto Armuella, Panama
AMM	Amman [Queen Alia International], Jordan
AMN	Alma, MI [Gratiot Community Airport], USA
AMO	Mao, Chad
AMP	Ampanihy, Madagascar
AMQ	Ambon [Pattimura], Indonesia
AMR	Arno, Marshall Islands
AMS	Amsterdam [Schiphol], Netherlands
AMT	Amata, Northern Territory, Australia
AMU	Amanab, Papua New Guinea
AMV	Amderma, Arkhangelsk, Russia
AMW	Ames, IA [Ames Municipal Airport], USA
AMX	Ammaroo, Northern Territory, Australia
AMY	Ambatomainty, Madagascar
AMZ	Ardmore, New Zealand
ANA	Anaheim/Disneyland, CA, USA
ANB	Anniston, AL [Anniston Metropolitan Airport], USA
ANC	Anchorage, AK [Anchorage International Airport], USA
AND	Anderson, SC [Anderson County Airport], USA
ANE	Angers, France
ANF	Antofagasta [Cerro Moreno], Chile
ANG	Angouleme, France
ANH	Anuha Island [Anuha Island Resort], Solomon Islands
ANI	Aniak, AK [Aniak Airport], USA
ANJ	Zanaga, Congo
ANK	Ankara [Etimesgut], Turkey
ANL	Andulo, Angola
ANM	Antalaha, Madagascar
ANN	Annette, AK [Annette Island Airport], USA
ANO	Angoche (Antonio Enes), Mozambique
ANP	Annapolis, MD [Lee Airport], USA
ANQ	Angola, IN [Tri-State Steuben County Airport], USA
ANR	Antwerpen (Antwerp) [Deurne], Belgium
ANS	Andahuaylas, Peru
ANU	Antigua (Saint John's), Antigua Is. [V.C. Bird International/Coolidge Airport], Antigua and Barbuda
ANV	Anvik, AK [Anvik Airport], USA
ANW	Ainsworth, NE [Ainsworth Municipal Airport], USA
ANX	Andoya [Andoya/Andenes Airport], Norway
ANY	Anthony, KS [Anthony Municipal Airport], USA
ANZ	Angus Downs, Northern Territory, Australia
AOA	Aroa, Papua New Guinea
AOB	Annanberg, Papua New Guinea
AOC	Altenburg, Germany
AOD	Abou Deia, Chad
AOG	Anshan, China
AOH	Lima, OH [Lima Allen County Airport], USA
AOI	Ancona, Italy
AOJ	Aomori, Japan
AOK	Karpathos, Greece
AOL	Paso de los Libres, Argentina
AON	Arona, Papua New Guinea
AOO	Altoona, PA [Altoona-Blair County Airport], USA
AOR	Alor Setar, Malaysia
AOS	Amook, AK [Amook Bay Seaplane Base], USA
AOU	Attopeu, Laos
AOV	Ava, MO [Ava Bill Martin Memorial Airport], USA
AOW	Hanalei, HI, USA
APA	Denver, CO [Centennial Airport], USA
APB	Apolo, Bolivia
APC	Napa, CA [Napa County Airport], USA
APE	San Juan Aposento, Peru
APF	Naples, FL [Naples Municipal Airport], USA
APG	Aberdeen Proving Ground (Aberdeen), MD [Phillips Army Air Field], USA
APH	Bowling Green/Fort A. P. Hill, VA [A. P. Hill Army Air Field], USA
API	Apiay, Colombia
APJ	Appian Line, Italy
APK	Apataki, Tuamotu Archipelago, French Polynesia
APL	Nampula, Mozambique
APN	Alpena, MI [Alpena County Regional Airport], USA
APO	Apartado, Colombia
APP	Asapa, Papua New Guinea
APR	April River, Papua New Guinea
APS	Anapolis, GO, Brazil
APT	Jasper, TN [Marion County Airport-Brown Field], USA
APU	Apucarana, PR, Brazil
APV	Apple Valley, CA [Apple Valley Airport], USA
APW	Apia [Faleolo], Western Samoa
APX	Arapongas, PR, Brazil
APY	Alto do Parnaiba, PI, Brazil
APZ	Zapala, Argentina
AQA	Araraquara, SP, Brazil
AQG	Anqing, China
AQI	Qaisumah, Saudi Arabia
AQJ	Aqaba, Jordan
AQM	Ariquemes, RO, Brazil
AQP	Arequipa [Rodriguez Ballon], Peru
AQS	Saqani, Fiji
AQY	Alyeska/Girdwood, AK [Girdwood Airport], USA
ARA	New Iberia, LA [Acadiana Regional Airport], USA
ARB	Ann Arbor, MI [Ann Arbor Municipal Airport], USA
ARC	Arctic Village, AK [Arctic Village Airport], USA
ARD	Alor Island, Indonesia
ARF	Acaricura, Colombia
ARG	Walnut Ridge, AR [Walnut Ridge Regional Airport], USA
ARH	Arkhangelsk, Arkhangelsk, Russia
ARI	Arica [Chacalluta], Chile
ARJ	Arso, Indonesia
ARK	Arusha, Tanzania
ARL	Arly, Burkina Faso
ARM	Armidale, New South Wales, Australia
ARN	Stockholm [Arlanda], Sweden
ARO	Arboletas, Colombia
ARP	Aragip, Papua New Guinea
ARQ	Arauquita, Colombia
ARR	Alto Rio Senguerr, Argentina
ARS	Aragarcas, GO, Brazil
ART	Watertown, NY [Watertown International Airport], USA
ARU	Aracatuba, SP, Brazil
ARV	Minocqua/Woodruff, WI [Lakeland Airport/Noble F. Lee Memorial Field], USA
ARW	Arad, Romania
ARX	Asbury Park/Fort Monmouth, NJ [Charles Wood Helipad], USA
ARY	Ararat, Victoria, Australia
ARZ	N'zeto, Angola
ASA	Assab, Eritrea
ASB	Ashgabat (Ashkhabad), Ahal, Turkmenistan
ASC	Ascension, Bolivia
ASD	Andros Town, Andros [International], Bahamas
ASE	Aspen, CO [Aspen-Pitkin County Airport/Sardy Field], USA
ASF	Astrakhan, Astrakhan, Russia
ASG	Ashburton, New Zealand
ASH	Nashua, NH [Boire Field], USA
ASI	Ascension Island, St. Helena
ASJ	Amami O Shima, Japan
ASK	Yamoussoukro, Ivory Coast
ASL	Marshall, TX [Harrison County Airport], USA
ASM	Asmara [Yohannes IV], Eritrea
ASN	Talladega, AL [Talladega Municipal Airport], USA
ASO	Asosa, Ethiopia
ASP	Alice Springs, Northern Territory, Australia
ASQ	Austin, NV [Austin Airport], USA
ASR	Kayseri, Turkey
AST	Astoria, OR [Astoria Regional Airport], USA
ASU	Asuncion [Presidente Stroessner], Paraguay
ASV	Amboseli, Kenya
ASW	Aswan, Egypt
ASX	Ashland, WI [John F. Kennedy Memorial Airport], USA
ASY	Ashley, ND [Ashley Municipal Airport], USA
ASZ	Asirim, Papua New Guinea
ATA	Anta, Peru
ATB	Atbara, Sudan
ATC	Arthur's Town, Cat, Bahamas
ATD	Atoifi, Solomon Islands
ATE	Antlers, OK [Antlers Municipal Airport], USA
ATF	Ambato, Ecuador
ATG	Atalaya, Peru
ATH	Athens (Athinai) [Hellinikon International Airport], Greece
ATI	Artigas, Uruguay
ATJ	Antsirabe, Madagascar
ATK	Atqasuk, AK [Atqasuk Airport], USA
ATL	Atlanta, GA [The William B. Hartsfield Atlanta International Airport], USA
ATM	Altamira, PA, Brazil
ATN	Namatanai, Papua New Guinea
ATO	Athens/Albany, OH [Ohio University Airport], USA
ATP	Aitape, Papua New Guinea
ATQ	Amritsar, India
ATR	Atar, Mauritania
ATS	Artesia, NM [Artesia Municipal Airport], USA
ATT	Atmautluak, AK [Atmautluak Airport], USA
ATU	Attu Island, AK [Casco Gove Coast Guard Station Airport], USA
ATV	Ati, Chad
ATW	Appleton, WI [Outagamie County Airport], USA
ATY	Watertown, SD [Watertown Municipal Airport], USA
ATZ	Assiut, Egypt
AUA	Aruba (Oranjestad) [Queen Beatrix International Airport], Aruba
AUC	Arauca, Colombia
AUD	Augustus Downs, Queensland, Australia
AUE	Aub Rudeis, Egypt
AUG	Augusta, ME [Augusta State Airport], USA
AUH	Abu Dhabi [Nadia International Airport], United Arab Emirates
AUI	Aua, Papua New Guinea
AUJ	Ambunti, Papua New Guinea
AUK	Alakanuk, AK [Alakanuk Airport], USA
AUL	Aur Atoll, Marshall Islands
AUM	Austin, MN [Austin Municipal Airport], USA
AUN	Auburn, CA [Auburn Municipal Airport], USA
AUO	Auburn, AL [Auburn-Opelika Robert G. Pitts Airport], USA
AUP	Agaun, Papua New Guinea
AUQ	Atuona, Marquesas Islands, French Polynesia
AUR	Aurillac, France
AUS	Austin, TX [Robert Mueller Municipal Airport], USA
AUT	Atauro, Indonesia
AUU	Aurukun Mission, Queensland, Australia
AUW	Wausau, WI [Wausau Municipal Airport], USA
AUX	Araguaina, TO, Brazil
AUY	Aneityum, Vanuatu
AUZ	Chicago/Aurora, IL [Aurora Municipal Airport], USA
AVB	Aviano [Aviano Air Base], Italy
AVC	South Hill, VA [Mecklenburg-Brunswick Regional Airport], USA
AVE	Avenal, CA [Avenal Airport], USA
AVF	Avoriaz, France
AVG	Auvergne, Northern Territory, Australia
AVI	Ciego de Avila, Cuba
AVL	Asheville, NC [Asheville Regional Airport], USA
AVN	Avignon [Caumont], France
AVO	Avon Park, FL [Avon Park Municipal Airport], USA
AVP	Wilkes-Barre/Scranton, PA [Wilkes-Barre/Scranton International Airport], USA
AVU	Avu Avu, Solomon Islands
AVV	Victoria, New South Wales [Avalon Airport], Australia
AVW	Tucson, AZ [Avra Valley Airport], USA
AVX	Avalon (Catalina Island), CA [Catalina Airport], USA
AWA	Awassa, Ethiopia
AWB	Awaba, Papua New Guinea
AWD	Aniwa, Vanuatu
AWE	Alowe, Gabon
AWG	Washington, IA [Washington Municipal Airport], USA
AWH	Awareh, Ethiopia
AWK	Wake Island [Wake Island Airfield], Wake Island
AWM	West Memphis, AR [West Memphis Municipal Airport], USA
AWN	Alton Downs, South Australia, Australia
AWO	Arlington, WA [Arlington Municipal Airport], USA
AWP	Austral Downs, Northern Territory, Australia
AWR	Awar, Papua New Guinea
AWZ	Ahwaz, Iran
AXA	Anguilla [The Valley/Wallblake], Anguilla
AXB	Alexandria Bay, NY [Maxson Airfield], USA
AXC	Aramac, Queensland, Australia
AXD	Alexandroupolis, Greece
AXG	Algona, IA [Algona Municipal Airport], USA
AXH	Houston, TX [Houston-Southwest Airport], USA
AXK	Ataq, Yemen
AXL	Alexandria, Northern Territory, Australia
AXM	Armenia, Colombia
AXN	Alexandria, MN [Chandler Field], USA
AXP	Spring Point, Crooked [Municipal], Bahamas
AXR	Arutha, French Polynesia
AXS	Altus, OK [Altus Municipal Airport], USA
AXT	Akita, Japan
AXU	Axum, Ethiopia
AXV	Wapakoneta, OH [Neil Armstrong Airport], USA
AXX	Angel Fire, NM [Angel Fire Airport], USA
AYA	Ayapel, Colombia
AYC	Ayacucho, Colombia
AYD	Alroy Downs, Northern Territory, Australia
AYE	Ayer/Fort Devens, MA [Moore Army Air Field], USA
AYG	Yaguara, Colombia
AYH	Alconbury, England [Alconbury RAF Station], United Kingdom
AYI	Yari, Colombia
AYJ	Lincoln, NE [Lincoln Municipal Army National Guard/Base Operations Airport], USA
AYK	Arkalyk, Kazakhstan
AYL	Anthony Lagoon, Northern Territory, Australia
AYN	Anyang, China
AYP	Ayacucho, Peru
AYQ	Ayers Rock, Northern Territory, Australia
AYR	Ayr, Queensland, Australia
AYS	Waycross, GA [Waycross-Ware County Airport], USA
AYT	Antalya, Turkey
AYU	Aiyura, Papua New Guinea
AYW	Ayawasi, Indonesia
AYY	Al Bayda, Yemen
AYZ	Amityville, NY, USA
AZB	Amazon Bay, Papua New Guinea
AZD	Yazd, Iran
AZE	Hazlehurst, GA [Hazlehurst Airport], USA
AZG	Apatzingan, Mexico
AZI	Abu Dhabi [Bettina], United Arab Emirates
AZN	Andijon (Andizhan), Andijon, Uzbekhistan
AZO	Kalamazoo, MI [Kalamazoo/Battle Creek International Airport], USA
AZR	Adrar [Touat], Algeria
AZT	Zapatoca, Colombia
BAA	Bialla, Papua New Guinea
BAB	Marysville, CA [Beale Air Force Base], USA
BAC	Barranca de Upi, Colombia
BAD	Bossier City, LA [Barksdale Air Force Base], USA
BAE	Barcelonnette, France
BAF	Westfield, MA [Barnes Municipal Airport], USA
BAG	Baguio, Philippines
BAH	Bahrain [Muharraq International], Bahrain
BAI	Buenos Aires, Costa Rica
BAJ	Bali, Papua New Guinea
BAK	Baki (Baku), Naxcivan, Azerbaijan
BAL	Batman [Batman Military Air Base], Turkey
BAM	Battle Mountain, NV [Battle Mountain Airport], USA
BAN	Basongo, Zaire
BAO	Ban Mak Khaeng, Thailand
BAP	Baibara, Papua New Guinea
BAQ	Barranquilla [Ernesto Cortissoz], Colombia
BAR	Baker Island, Baker Island
BAS	Balalae, Solomon Islands
BAT	Barretos, SP, Brazil
BAU	Bauru, SP, Brazil
BAV	Baotou, China
BAW	Biawonque, Gabon
BAX	Barnaul, Altay, Russia
BAY	Baia Mare, Romania
BAZ	Barcelos, AM, Brazil
BBA	Balmaceda, Chile
BBB	Benson, MN [Benson Municipal Airport], USA
BBC	Bay City, TX [Bay City Municipal Airport], USA
BBD	Brady, TX [Curtis Field], USA
BBE	Big Bell, Western Australia, Australia
BBF	Burlington, MA [Burlington Municipal Airport], USA
BBG	Butaritari, Kiribati
BBH	Barth, Germany
BBI	Bhubaneswar, India
BBJ	Bitburg [Bitburg Air Base], Germany
BBK	Kasane, Botswana
BBL	Babolsar, Iran
BBM	Battambang, Cambodia
BBN	Bario, Sarawak, Malaysia
BBO	Berbera, Somalia
BBP	Bembridge, England, United Kingdom
BBQ	Barbuda (Codrington), Barbuda Is., Antigua and Barbuda
BBR	Basse-Terre, Guadeloupe
BBS	Blackbush, United Kingdom
BBT	Berberati, Central African Republic
BBU	Bucharest [Baneasa], Romania
BBV	Beresy, Ivory Coast
BBW	Broken Bow, NE [Broken Bow Municipal Airport], USA
BBX	Blue Bell, PA [Wings Field], USA
BBY	Bambari, Central African Republic
BBZ	Zambezi, Zambia
BCA	Baracoa, Cuba
BCB	Blacksburg, VA [Virginia Tech Airport], USA
BCC	Bear Creek, AK [Bear Creek 3 Airport], USA
BCD	Bacolod, Philippines
BCE	Bryce Canyon, UT [Bryce Canyon Airport], USA
BCF	Bouca, Central African Republic
BCG	Bemichi, Guyana
BCH	Baucau, Indonesia
BCI	Barcaldine, Queensland, Australia
BCJ	Baca Grande, CO, USA
BCK	Bolwarra, Queensland, Australia
BCL	Barra Colorado, Costa Rica
BCM	Bacau, Romania
BCN	Barcelona [Aeropuerto Transoceanico de Barcelona], Spain
BCO	Baco/Jinka, Ethiopia
BCR	Boca do Acre, AM, Brazil
BCS	Belle Chasse, LA [Air Logistics (Belle Chasse) Heliport], USA
BCT	Boca Raton, FL [Boca Raton Airport], USA
BCU	Bauchi, Nigeria
BCV	Birchwood, AK [Birchwood Airport], USA
BCY	Bulchi, Ethiopia
BCZ	Braganca, PA, Brazil
BDA	Bermuda [Kindley Field], Bermuda
BDB	Bundaberg, Queensland, Australia
BDC	Barra do Corda, MA, Brazil
BDD	Badu Island, Queensland, Australia
BDE	Baudette, MN [Baudette International Airport], USA
BDF	Bradford, IL [Rinkenberger RLA], USA
BDG	Blanding, UT [Blanding Municipal Airport], USA
BDH	Bandar Lengeh, Iran
BDI	Bird Island, Seychelles
BDJ	Banjarmarsin [Syamsudin Noor], Indonesia
BDK	Bondoukou, Ivory Coast
BDL	Hartford/Springfield (Windsor Locks), CT [Bradley International Airport], USA
BDM	Bandirma, Turkey
BDN	Badin, Pakistan
BDO	Bandung, Indonesia
BDP	Bhadrapur, Nepal
BDQ	Baronda (Vadodara), India
BDR	Bridgeport, CT [Igor I. Sikorsky Memorial Airport], USA
BDS	Brindisi [Casale], Italy
BDT	Gbadolite, Zaire
BDU	Bardufoss, Norway
BDV	Moba, Zaire
BDW	Bedford Downs, Western Australia, Australia
BDX	Broadus, MT [Broadus Airport], USA
BDY	Bandon, OR [Bandon State Airport], USA
BDZ	Baindoung, Papua New Guinea
BEA	Bereina, Papua New Guinea
BEB	Benbecula, Scotland, United Kingdom
BEC	Wichita, KS [Beech Factory Airport], USA
BED	Bedford, MA [Laurence G. Hanscom Field], USA
BEE	Beagle Bay, Western Australia, Australia
BEF	Bluefields, Nicaragua
BEG	Belgrade (Beograd) [Surcin], Yugoslavia
BEH	Benton Harbor, MI [Ross Field-Twin Cities Airport], USA
BEI	Beica, Ethiopia
BEJ	Berau, Indonesia
BEK	Rae Bareli, India
BEL	Belem, PA [Vale de Caes], Brazil
BEM	Bossembele, Central African Republic
BEN	Benghazi [Benina], Libya
BEO	Newcastle, New South Wales [Belmont Airport], Australia
BEP	Bellary, India
BEQ	Bury St. Edmunds, England, United Kingdom
BER	Berlin [Metropolitan Area], Germany
BES	Brest [Guipavas], France
BET	Bethel, AK [Bethel Airport], USA
BEU	Bedourie, Queensland, Australia
BEV	Beer Sheba (Beersheba), Israel
BEW	Beira, Mozambique
BEX	Benson, England, United Kingdom
BEY	Beirut [International], Lebanon
BEZ	Beru, Kiribati
BFA	Boyne Falls, MI [Boyne Mountain Airport], USA
BFB	Blue Fox Bay, AK, USA
BFC	Bloomfield, Queensland, Australia
BFD	Bradford, PA [Bradford Regional Airport], USA
BFE	Bielefeld, Germany
BFF	Scottsbluff, NE [William B. Heilig Field], USA
BFG	Bullfrog Basin (Glen Canyon NRA), UT [Bullfrog Basin Airport], USA
BFI	Seattle, WA [Boeing Field/King County International Airport], USA
BFJ	Ba, Fiji
BFK	Denver/Aurora, CO [Buckley Army National Guard Base], USA
BFL	Bakersfield, CA [Meadows Field], USA
BFM	Mobile, AL [Mobile Downtown Airport], USA
BFN	Bloemfontein [J.B.M. Hertzog], South Africa
BFO	Buffalo Range [Chiredzi], Zimbabwe
BFP	Beaver Falls, PA [Beaver County Airport], USA
BFR	Bedford, IN [Virgil I. Grissom Municipal Airport], USA
BFS	Belfast, Northern Ireland [Aldergrove International], United Kingdom
BFT	Beaufort, SC [Beaufort County Airport], USA
BFU	Bengbu, China
BFV	Clinton, OK [Clinton Municipal Airport], USA
BFW	Silver Bay, MN [Silver Bay Municipal Airport], USA
BFX	Bafoussem, Cameroon
BGA	Bucaramanga [Palonegro], Colombia
BGB	Boque, Gabon
BGC	Braganca, Portugal
BGD	Borger, TX [Hutchinson County Airport], USA
BGE	Bainbridge, GA [Decatur County Industrial Air Park], USA
BGF	Bangui [M'Poko], Central African Republic
BGG	Bogra, Bangladesh
BGH	Boghe, Mauritania
BGI	Barbados (Bridgetown) [Grantley Adams International Airport], Barbados
